"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"4793","07-19T17:00:00",198,46.8,77.8,77.8,11.6
"4794","07-19T18:00:00",190,47.6,75.8,75.8,11.1
"4795","07-19T19:00:00",204,48.7,72.8,72.8,9.9
"4796","07-19T20:00:00",193,49,69.8,69.8,9
"4797","07-19T21:00:00",177,49.5,67.9,67.9,8.4
"4798","07-19T22:00:00",165,49.6,66.2,66.2,7.6
"4799","07-19T23:00:00",159,49.9,64.9,64.9,7.4
"4800","07-20T00:00:00",146,49.5,62.9,62.9,7.3
"4801","07-20T01:00:00",153,49.6,62.2,62.2,7.1
"4802","07-20T02:00:00",136,49.4,61.2,61.2,7.3
"4803","07-20T03:00:00",134,49.2,60.3,60.3,7.3
"4804","07-20T04:00:00",143,49,59.6,59.6,7
"4805","07-20T05:00:00",128,48.5,59.3,59.3,7.1
"4806","07-20T06:00:00",136,49.4,62.1,62.1,6.7
"4807","07-20T07:00:00",136,50.2,67.4,67.4,6.1
"4808","07-20T08:00:00",122,49.5,71.6,71.6,6.6
"4809","07-20T09:00:00",104,48.9,74.9,74.9,7.8
"4810","07-20T10:00:00",88,48.2,77.5,77.5,8.9
"4811","07-20T11:00:00",87,47.6,79.8,79.8,10
"4812","07-20T12:00:00",82,46.8,81.2,81.2,10.4
"4813","07-20T13:00:00",67,46.6,81.6,81.6,10.6
"4814","07-20T14:00:00",107,46.3,81.5,81.5,11.4
"4815","07-20T15:00:00",154,46.4,80.7,80.7,11.8
"4816","07-20T16:00:00",189,46.7,79.5,79.5,11.4
"4817","07-20T17:00:00",190,46.9,77.9,77.9,11.6
"4818","07-20T18:00:00",180,47.7,75.9,75.9,11
"4819","07-20T19:00:00",204,48.7,72.9,72.9,9.8
"4820","07-20T20:00:00",190,49.2,69.9,69.9,9
"4821","07-20T21:00:00",176,49.6,67.9,67.9,8.5
"4822","07-20T22:00:00",165,49.7,66.2,66.2,7.7
